Queries,Type
"""Why has there been a delay in delivering my order? Is there any specific reason?""",track
"""Why has there been a delay in delivering my order? Is there any specific reason?""",track
"""Why has there been a delay in delivering my order? Is there any specific reason?""",delivery
"""Why has there been a delay in delivering my order? Is there any specific reason?""",delivery
"""Why has there been a delay in delivering my order? Is there any specific reason?""",delivery
"""Why has there been a delay in delivering my order?""",delay
"""Why hasn't my order been delivered yet?""",delivery
"""Why hasn't my order been shipped yet? It's been pending for a while.""",delivery
"""Why hasn't my order been shipped yet? It's been pending for a while.""",delivery
"""Why hasn't my order been shipped yet? It's been pending for a while.""",delivery
"""Why is my order experiencing such a long delay in delivery?""",delivery
"""Why is my order not delivered yet? It was supposed to arrive by now.""",track
"""Why is my order not delivered yet? It was supposed to arrive by now.""",track
"""Why is my order not delivered yet? It was supposed to arrive by now.""",track
"""Why is my order not delivered yet? It was supposed to arrive by now.""",delivery
"""Why is my order not delivered yet? It was supposed to arrive by now.""",delivery
"""Why is my order not delivered yet? It was supposed to arrive by now.""",delivery
"""Why is my order still in transit? It has been delayed for an unusually long time.""",delay
"""Why is my order still in transit? It's been in transit for a long time.""",track
"""Why is my order still in transit?""",track
"""Why is my order taking longer than expected to be delivered?""",track
"""Why is my order taking longer than usual to be delivered?""",track
"""Why is my order taking longer than usual to be delivered?""",delivery
"""Why is my order taking longer than usual to be processed and delivered?""",delay
"""Why is my order's delivery status not updating?""",track
"""Why is my order's delivery status not updating?""",track
"""Why is my order's delivery status not updating?""",track
"""Why is my order's delivery status not updating?""",delivery
"""Why is my order's delivery status not updating?""",delivery
"""Why is my order's delivery taking longer than initially estimated?""",track
"""Why is my order's delivery taking longer than initially estimated?""",track
"""Why is my order's delivery taking longer than initially estimated?""",track
"""Why is my order's delivery taking longer than initially estimated?""",delivery
"""Why is my order's delivery taking longer than initially estimated?""",delivery
"""Why is my order's delivery taking longer than initially estimated?""",delivery
"""Why is my order's delivery taking so long? It's been weeks.""",track
"""Why is my order's delivery taking so long? It's been weeks.""",track
"""Why is my order's delivery taking so long? It's been weeks.""",track
"""Why is my order's delivery taking so long? It's been weeks.""",delivery
"""Why is my order's delivery taking so long? It's been weeks.""",delivery
"""Why is my order's delivery taking so much time? It's been delayed significantly.""",delivery
"""Why is my order's delivery time extending beyond the usual timeframe?""",track
"""Why is my order's delivery time extending beyond the usual timeframe?""",track
"""Why is my order's delivery time extending beyond the usual timeframe?""",track
"""Why is my order's delivery time extending beyond the usual timeframe?""",delivery
"""Why is my order's delivery time extending beyond the usual timeframe?""",delivery
"""Why is my order's delivery time extending beyond the usual timeframe?""",delivery
"""Why is my order's delivery time significantly longer than usual?""",track
"""Why is my order's delivery time significantly longer than usual?""",track
"""Why is my order's delivery time significantly longer than usual?""",track
"""Why is my order's delivery time significantly longer than usual?""",delivery
"""Why is my order's delivery time significantly longer than usual?""",delivery
"""Why is my order's delivery time significantly longer than usual?""",delivery
"""Why is the delivery of my order taking so much time?""",track
"""Why is there a delay in delivering my order? I'm concerned.""",delivery
"""Why is there a delay in delivering my order?""",track
"""Why is there a delay in delivering my order?""",track
Any active vouchers or promo codes available?,voucher
Any available vouchers for my purchase?,voucher
Any available vouchers or discount offers for customers?,voucher
Are refunds available,return
Are refunds available for return?,return_status
Are there any active voucher codes for extra savings?,voucher
Are there any active vouchers or discount codes?,voucher
Are there any additional features or functionalities in the mobile app?,mobile_app
Are there any available vouchers I can use?,voucher
Are there any consequences for canceling my order multiple times?,cancel
Are there any external factors that have contributed to the delay in delivering my order?,reasons
Are there any limitations on canceling certain types of orders?,cancel
Are there any ongoing voucher promotions or offers?,voucher
Are there any penalties for canceling my order?,cancel
Are there any restrictions on canceling orders for certain product categories?,cancel
Are there any special offers or vouchers currently available?,voucher
Are there any specific instructions I should follow to cancel my order?,cancel
Are there any specific instructions to download the mobile app?,mobile_app
Are there any specific requirements or conditions for canceling an order?,cancel
Are there any valid vouchers I can use for my order?,voucher
Are there any vouchers?,voucher
Are you cash only?,payments
Bye,goodbye
Can I access all the website features and functionalities through the mobile app?,mobile_app
Can I access the platform's features on a mobile app?,mobile_app
Can I apply a voucher during the checkout process?,voucher
Can I apply a voucher to my purchase?,voucher
can I call customer service,more
Can I cancel an order?,cancel
Can I cancel my order if it has already been shipped?,cancel
Can I cancel my order if it is a bulk or wholesale purchase?,cancel
Can I cancel my order if it is a customized or personalized item?,cancel
Can I cancel my order if it is a digital or downloadable product?,cancel
Can I cancel my order if it is a digital subscription or membership?,cancel
Can I cancel my order if it is a gift or gift card purchase?,cancel
Can I cancel my order if it is a large or bulky item?,cancel
Can I cancel my order if it is a limited edition or exclusive item?,cancel
Can I cancel my order if it is a made-to-order or custom-made item?,cancel
Can I cancel my order if it is a perishable or time-sensitive item?,cancel
Can I cancel my order if it is a pre-order or backordered item?,cancel
Can I cancel my order if it is a pre-sale item?,cancel
Can I cancel my order if it is a reservation or booking?,cancel
Can I cancel my order if it is a special order or made-to-measure item?,cancel
Can I cancel my order if it is a subscription box or recurring delivery?,cancel
Can I cancel my order if it is a subscription or recurring purchase?,cancel
Can I cancel my order if it is a subscription renewal?,cancel
Can I cancel my order if it is an international shipment?,cancel
Can I cancel my order online or do I need to contact customer service?,cancel
Can I cancel my order?,cancel
Can I cancel part of my order or only the entire order?,cancel
Can I download a mobile app for this platform?,mobile_app
Can I download a mobile app for this?,mobile_app
Can I enter a voucher code at checkout?,voucher
Can I get a refund if I cancel my order?,cancel
Can I obtain more help or support for my issue?,more
Can I pay with Cash?,payments
can I refund my order,return
Can I return an item?,return
Can I speak to a live agent for further assistance?,more
Can I still cancel my order or is it too late?,cancel
can I talk to an agent,more
Can I track my order,track
Can I use a promotional code or voucher for my order?,voucher
Can I use a voucher code for my purchase?,voucher
Can I use a voucher?,voucher
Can you assist me in canceling my order?,cancel
Can you assist me in deleting my account?,profile
Can you assist me in updating my password to ensure the security of my account?,profile
Can you clarify the factors contributing to the delay in delivering my order?,reasons
Can you explain the reason for the delay in my order?,reasons
Can you guide me on changing my phone number?,profile
Can you guide me on how to apply a voucher to my order?,voucher
Can you guide me on how to become a seller?,more
Can you guide me on how to modify my phone number associated with my account?,profile
Can you guide me on the process of becoming a seller on the platform?,more
Can you guide me through the process of canceling my order?,cancel
Can you guide me through the steps to change my password for enhanced account security?,profile
Can you help me understand the cause of the delay in shipping my order?,reasons
Can you offer any insights into why my order has been delayed?,reasons
Can you provide an explanation for the delay in delivering my order?,reasons
Can you provide guidance on how to modify my profile settings and preferences?,profile
Can you provide guidance on how to permanently delete my account and all associated data?,profile
Can you provide information on how to become a seller on the platform?,more
Can you provide information on the availability of a mobile app?,mobile_app
Can you provide instructions on how to permanently delete my account from the platform?,profile
Can you provide instructions on how to update my password using the account settings?,profile
Can you provide instructions on how to use a voucher?,voucher
Can you provide me with the customer service contact information?,more
"Can you provide the contact information for customer service, such as email or phone?",more
Can you provide the customer service number for further assistance?,more
Can you provide the download link for the mobile app?,mobile_app
Common reasons for delivery delay,reasons
contact number for help,more
Could you please clarify the circumstances that have led to the delay in my order?,reasons
Could you please shed some light on the cause of the delay in my order?,reasons
customer service number,more
customer support number,more
delete my account,profile
delivery delay,reasons
"Despite the order being ""Refunded,"" the refund hasn't been received in my account. What should I do?",refund_status
"Despite the order being designated as ""Refunded,"" I haven't received the refund in my bank account.",refund_status
"Despite the order being marked as ""Refunded,"" I have not received the refunded money.",refund_status
"Despite the order being marked as ""Refunded,"" I haven't received the refund amount yet.",refund_status
"Despite the order status displaying ""Refunded,"" I haven't received the refund yet. Can you help?",refund_status
Did my order get delayed?,delay
Do you accept Mastercard?,payments
Do you take credit cards?,payments
Does the mobile app offer push notifications for updates and notifications?,mobile_app
Download mobile app,mobile_app
Good day,greeting
Goodbye,goodbye
Has there been any specific issue or challenge leading to the delay in my order?,reasons
Hello,greeting
help me more,more
helpline number,more
Hey,greeting
Hi ,greeting
How are you doing?,personal
How are you?,personal
How can I access customer service to address my concerns?,more
How can I access the services through a mobile app?,mobile_app
How can I avail the benefits of a voucher?,voucher
How can I benefit from a voucher or promotional code?,voucher
How can I cancel my order?,cancel
How can I change my address or add a new address for my account?,profile
How can I change my profile information,profile
How can I confirm that my order has been successfully canceled?,cancel
How can I contact customer service for help?,more
"How can I edit my profile information, including my name, email, and other details?",profile
How can I ensure that my cancellation request has been properly processed?,cancel
How can I get in touch with a seller for inquiries or assistance?,more
How can I get the mobile app for convenient access to the platform?,mobile_app
How can I initiate contact with a seller for inquiries or support?,more
How can I install the mobile app on my smartphone or tablet?,mobile_app
"How can I make changes to my profile information such as name, email, and photo?",profile
"How can I modify my profile settings, such as privacy preferences and notification settings?",profile
How can I reach out to customer service for further assistance?,more
How can I redeem a voucher?,voucher
How can I request a cancellation for my order?,cancel
How can I track my order,track
How can I update my address in my profile?,profile
"How can I update my communication preferences, such as email subscriptions or newsletter subscriptions?",profile
How can I update my profile information?,profile
How can I utilize a voucher for my order?,voucher
How do I can cancel my order,cancel
"How do I change my account settings, such as email notification preferences?",profile
How do I delete my account?,profile
How do I pay?,payments
How do I use a voucher to receive discounts?,voucher
How is your day?,personal
How long do return items take?,return_status
How long does delivery take?,delivery
How long does it take to process a cancellation request?,cancel
How long does shipping take?,delivery
How soon can I cancel my order before it is processed?,cancel
How to become a seller,more
How to contact a seller,more
how to contact customer service,more
How to redeem a voucher for savings?,voucher
How to use a voucher?,voucher
How will I be notified if my order cancellation is successful?,cancel
I am unable to access my account. How can I reset my password to regain access?,profile
I am unable to log in due to a forgotten password. How can I reset it?,profile
I did not receive my refund money,refund_status
"I expected to receive the refund, but the order status is still ""Refunded.""",refund_status
I forgot my password and need to reset it. How can I initiate the password reset?,profile
I forgot my password. How can I initiate the password reset process?,profile
I forgot my password. How can I reset it to regain access to my account?,profile
I forgot my password. What is the process to reset it and set a new password?,profile
I have decided to delete my account. What is the process to delete it permanently?,profile
I have decided to remove my account from the platform. How can I delete it?,profile
"I haven't received the refund even though the order status says ""Refunded."" What should I do?",refund_status
"I haven't received the refunded money, even though the order status indicates ""Refunded.""",refund_status
"I haven't seen the refund in my bank account, despite the order status being ""Refunded.""",refund_status
I need assistance in changing the address on my account. How can I do that?,profile
I need further assistance. Can you provide more help?,more
I need the contact number to reach out for help.,more
I need the customer service hotline or contact number to seek help.,more
I need the helpline number or contact details to seek help.,more
I need to change my phone number on my account. Can you assist me with the process?,profile
I need to change my shipping address. How can I update it in my profile?,profile
I need to update my contact details. How can I change my phone number on my account?,profile
I no longer want to keep my account. Can you assist me in deleting it permanently?,profile
I require additional guidance. Can you provide further assistance?,more
I want to cancel my order,cancel
I want to change my address,profile
I want to change my password,profile
I want to change my phone number,profile
I want to close my account permanently. Can you guide me through the account deletion process?,profile
I want to delete my account,profile
I want to initiate the cancellation of my order.,cancel
"I want to modify my profile information, including my bio and personal details. How do I proceed?",profile
I want to refund an item,return
I want to Reset my password,profile
I want to track my order,track
"I want to update my contact information, particularly my phone number. How can I do that?",profile
I want to update my phone number on file. How can I change it in my account?,profile
"I want to update my profile details like interests, preferences, and bio. How can I do that?",profile
I would appreciate it if you could provide me with an update on the reasons behind the delay in my order.,reasons
I would like to change my registered phone number. How can I do that?,profile
I would like to delete my account. What are the steps to do so?,profile
I would like to know the specific reason behind the delay in my order.,reasons
I would like to request a cancellation for my order.,cancel
I would like to update my password to enhance the security of my account. How can I proceed?,profile
"I'm awaiting the refund despite the order status showing as ""Refunded."" Can you assist me?",refund_status
"I'm concerned about the discrepancy between the ""Refunded"" status and the actual refund amount received.",refund_status
"I'm concerned as the order shows ""Refunded,"" but I haven't received the refund payment.",refund_status
"I'm concerned as the order status indicates ""Refunded,"" but the refund amount hasn't been credited.",refund_status
"I'm concerned because the order is marked as ""Refunded,"" but I haven't seen the refund reflected.",refund_status
"I'm confused because the order status shows ""Refunded,"" but I haven't received the refund.",refund_status
I'm curious about the factors contributing to the delay in my order. Can you shed some light on this?,reasons
I'm looking for further guidance. Can you provide additional support?,more
"I'm puzzled because the order status indicates ""Refunded,"" but I haven't received the refund amount.",refund_status
I'm worried about the delay in my order. Can you provide an explanation?,reasons
"I've noticed that the order is listed as ""Refunded,"" but the refund hasn't been issued.",refund_status
Is anyone there? ,greeting
Is it possible to cancel an order?,cancel
Is the mobile app free to download and use?,mobile_app
Is the mobile app user-friendly and intuitive to navigate?,mobile_app
Is there a cancellation fee for canceling my order?,cancel
Is there a cancellation policy for orders placed during promotional periods?,cancel
Is there a customer service helpline I can call for support?,more
Is there a customer support hotline I can call to cancel my order?,cancel
Is there a customer support hotline I can contact for additional assistance?,more
Is there a deadline or time frame for canceling an order?,cancel
Is there a dedicated mobile app for a seamless user experience?,mobile_app
Is there a dedicated support team I can speak to regarding my issue?,more
Is there a helpline number available for customer support?,more
Is there a helpline or support center I can contact for more information?,more
Is there a mobile app available for download?,mobile_app
Is there a mobile app compatible with iOS and Android devices?,mobile_app
Is there a mobile app?,mobile_app
Is there a particular reason for the delay in delivering my order?,reasons
Is there a section to enter a voucher code at payment?,voucher
Is there a specific cancellation policy for orders?,cancel
Is there a specific contact number or email address to contact customer service?,more
Is there a specific department I should contact to cancel my order?,cancel
Is there a specific form or process for canceling my order?,cancel
Is there a specific method to communicate with sellers regarding my questions or issues?,more
Is there a specific process for canceling orders placed through a third-party seller?,cancel
Is there a specific process to use a voucher for discounts?,voucher
Is there a specific timeframe within which I should expect a refund after canceling my order?,cancel
Is there a specific timeframe within which I should expect a response to my cancellation request?,cancel
Is there a specific way to use a voucher for discounts?,voucher
Is there a timeframe within which I can cancel my order?,cancel
Is there a voucher code or coupon available for use?,voucher
Is there a way to change my password without any hassle? Can you guide me?,profile
Is there a way to change my profile visibility settings on the platform?,profile
Is there a way to update my profile picture or avatar on the platform?,profile
Is there an official mobile app for this platform?,mobile_app
Is there any information on why my order is experiencing a delay?,reasons
Is there any specific information about why my order is experiencing a delay?,reasons
Mobile app,mobile_app
Money deducted but order is not confirmed,confirm
My payment was processed successfully but I didn't get any order confirmation. What should I do?,confirm
Need more help,more
No refund even though status is refunded,refund_status
"No refund received despite ""Refunded"" status. Help required.",refund_status
ok thnx,thanks
"Order shows ""Refunded,"" but no refund money received. Assistance required.",refund_status
"Order status: ""Refunded,"" but refund not received. Assistance needed.",refund_status
Order was not confirmed,confirm
Payment was completed but no confirmation,confirm
Please Tell me about my delivery,delivery
reasons for delay,reasons
Refund money not received,refund_status
"Refund status: ""Refunded,"" but money not credited. Need support.",refund_status
See you later,goodbye
shipping delay,reasons
Steps to apply a voucher for discounts?,voucher
Steps to avail the discounts using a voucher or coupon?,voucher
Steps to redeem a voucher for savings on my purchase?,voucher
Steps to take advantage of a voucher or coupon?,voucher
Thank you,thanks
Thank's a lot!,thanks
Thanks,thanks
That's helpful,thanks
"The order has been marked as ""Refunded,"" but I'm yet to receive the refund in my account.",refund_status
"The order has been marked as ""Refunded,"" but I'm yet to receive the refund in my account.",refund_status
"The order is labeled as ""Refunded,"" but I'm still awaiting the refund to be completed.",refund_status
"The order is marked as ""Refunded,"" but I'm still waiting for the refund to be processed and received.",refund_status
"The order is showing as ""Refunded,"" but the refund hasn't been credited to my account yet.",refund_status
"The order shows as ""Refunded,"" but I haven't received the refund. Please help resolve this issue.",refund_status
"The order status changed to ""Refunded,"" but I haven't received the refunded amount in my bank.",refund_status
"The order status changed to ""Refunded,"" but the refund transaction hasn't been completed yet.",refund_status
"The order status displays ""Refunded,"" but I haven't received the money back. Can you assist me further?",refund_status
"The order status displays as ""Refunded,"" but I haven't received the money back into my account.",refund_status
"The order status indicates ""Refunded,"" but I'm still awaiting the refund to be processed.",refund_status
"The status of my order is displayed as ""Refunded,"" but the refund amount hasn't been refunded yet.",refund_status
"The status of my order is showing as ""Refunded,"" but the refunded amount hasn't been credited yet.",refund_status
thnx,thanks
Track order,track
What actions are being taken to rectify the delay and ensure the prompt delivery of my order?,reasons
What are the available channels to contact customer service for help?,more
What are the benefits of using the mobile app compared to the website?,mobile_app
What are the possible reasons for not being able to cancel an order?,cancel
What are the steps to edit my address details for accurate shipping and delivery?,profile
What are the steps to reset my password?,profile
What are the ways to contact a seller regarding my queries or concerns?,more
What are your payment methods?,payments
What can I buy?,items
What could be the possible reasons for the delay in my order?,reasons
What do you offer?,items
What do you sell?,items
What happens if I cancel my order after the return window has expired?,cancel
What happens if I cancel my order but have already received the shipment?,cancel
What happens to my payment if I cancel my order?,cancel
What information do I need to provide to cancel my order?,cancel
What is causing the delay in processing and shipping my order?,reasons
What is the best way to reach out to customer support for assistance?,more
What is the contact number for customer support?,more
What is the procedure for canceling an order?,cancel
What is the procedure for updating my address information for accurate order delivery?,profile
What is the process for editing my existing address or adding a new one?,profile
What is the process for updating or changing my password for account security?,profile
What is the process to change my password?,profile
What is the return status ?,return_status
What kinds of items are there?,items
What measures are being taken to expedite the delivery of my delayed order?,reasons
What should I do if I change my mind after canceling my order?,cancel
What should I do if I want to cancel my order but cannot find a cancellation option?,cancel
What steps are being taken to address the delay in delivering my order?,reasons
What steps do I need to take to cancel my order?,cancel
When can I get a refund for return items?,return_status
When do I get my delivery?,delivery
When do I get my delivery?,delay
When will my items be returned?,return_status
Where can I find and download the official mobile app?,mobile_app
Where can I find the mobile app for this platform in the app store?,mobile_app
Where is my order,track
where is my order?,delivery
Which items do you have?,items
Why has my order been delayed? I'm concerned about the delay.,reasons
Why is my order cancelled?,cancel
Why is my order delayed?,delay
Why is my order not delivered yet?,delivery
Why is my order not delivered yet?,delay
Why is my order taking so much time be to delivered?,delivery
Why is the status Refunded when it's not credited?,refund_status
